Rank,City,Country,2021,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,2020,2019,2018,2017
1,Orzesze, Poland,38.2,92.5,60.9,60.7,38.6,17.2,12.1,11.2,10,17.1,24.1,60.2,72.9,44.1,-,-,-
2,Ksawerow, Poland,31.9,51.1,53.4,42.4,30.3,14.3,19.9,19.7,16.8,22.8,33.4,37.9,42.6,28.7,28.7,-,-
3,Goczalkowice Zdroj, Poland,31.9,46.3,75.9,46.3,28.5,13.3,17,15,10.4,16.5,30.8,33.4,52.1,31.6,29.6,-,-
4,Raciborz, Poland,27.4,46.1,55.9,37.8,23.8,11.3,16,13.1,10.1,17.1,25.2,29.3,44.8,24.9,24.5,-,-
5,Klodzko, Poland,26.4,43.3,55.9,45.8,21.7,10.1,14,10.9,8.2,13.7,23.3,24.5,51.5,14.4,-,-,-
6,Bielsko-Biala, Poland,26.4,40.3,54,35.7,23.8,12.4,15.9,14.2,10.2,15.6,20.4,26.2,49.4,24.7,27,-,-
7,Gliwice, Poland,25.9,43.1,48.4,36.4,21.8,14,16.6,15.7,12.9,16.7,22.7,26.5,37.9,22.1,-,-,-
8,Domaszowice, Poland,25.6,46,49.5,32.8,21.1,12.9,13.9,16.2,12.6,14.5,24,29.4,36.3,21.1,21.1,-,-
9,Krakow, Poland,24.7,36.2,52,32,20.6,11.3,13.8,13.6,9.6,15.5,24.7,28.4,40.4,21.7,24.6,28.9,30.2
10,Naklo nad Notecia, Poland,24.4,40.2,63.3,31.4,18.7,9.9,11.3,11.9,7.1,12,26.7,28.8,41.5,-,-,-,-
11,Kalisz, Poland,23.9,36,45.4,28.3,18.9,9.4,14.5,15,11.3,15.8,22,28.9,43.2,18.8,19.4,23.3,26.1
12,Lask, Poland,23.9,39.8,47.5,38.2,21.7,9.8,13.5,12.5,9.3,13.8,22.4,24.5,36,-,-,-,-
13,Sroda Slaska, Poland,23.9,41.9,51.5,37.3,20.7,9.8,14.6,11.3,8.1,12.9,16.9,28.2,35.6,19,-,-,-
14,Mielec, Poland,23.9,31.6,45.7,32.3,18.2,14.8,19.8,18.1,14.7,18,21.2,22.6,30.7,18.8,21.1,25.1,25.3
15,Radomsko, Poland,23.7,31,41.6,35.6,22.5,11.2,17.7,15.9,12.7,16.4,21.8,22.3,36.9,20.8,-,-,-
16,Lublin, Poland,23.1,37.3,43,30.5,18.2,11.7,14.9,15.4,12.6,15.8,23.7,27.4,28.6,18.5,20.5,21,21.6
17,Sierpc, Poland,22.7,36.5,54.2,30.9,18.6,10.8,12.3,13,10,13.8,22.3,26.4,31.4,-,-,-,-
18,Katowice, Poland,22.5,39.4,43.6,31.4,20,11,13.6,12.3,10.2,14.1,19.3,22.4,32.7,21.4,26,30.4,25.1
19,Fordon, Poland,22.4,-,31.4,29.9,23.2,13.7,16.1,17.8,10.4,16.2,27.3,32.5,36.7,-,-,-,-
20,Kielce, Poland,22.3,36.6,54.9,29.4,18.1,10.4,13,12.4,10,13.1,20.9,20.3,30.2,16.5,20.1,-,-
21,Rzeszow, Poland,21.8,27.9,34.9,29.4,21.5,13.1,13.5,12.8,8.9,13.6,23.1,27.2,33.8,17,19.8,-,-
22,Debica, Poland,21.7,38,41.4,36.1,17.7,7.8,10.8,16.4,8.4,13.7,16.2,23.8,32,22.9,25.5,-,-
23,Starachowice, Poland,21.5,29.5,36.2,25.8,17.6,9.9,14.3,13.8,10.1,14.2,22.6,29.5,36,18,19.1,-,-
24,Tarnow, Poland,21.4,32.6,36.4,30.5,17.8,7.7,9.9,12.5,8.9,15.5,20.8,26.4,39.5,20.3,22.5,23.3,27.4
25,Kedzierzyn-Kozle, Poland,21.4,36.3,43.1,27.6,15.3,8.3,14.4,11.7,9.3,14.2,20.2,22.8,34.9,-,23.5,29,29.8
